state_id,default,mushdoom,killer_bee,slime_earth,mimic,earth_boss,rogue_knight,cave_bat,wolf,rat,slime_wind,spider,spider_boss,scorpion,ghost_knight,rogue_mystician,skeleton,snake,isolda
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,3,4,4,5,3,3,2,4,3,3,6,4,5,3,3,3,3,3,5
3,3,4,6,4,3,4,2,4,3,4,5,5,6,3,3,3,3,3,4
4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,2,3,3,1
5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
6,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3
7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
10,3,3,3,3,6,6,3,5,3,3,5,3,3,3,6,2,4,2,4
11,3,2,1,1,3,2,4,4,3,3,6,3,3,3,3,3,3,3,6
12,3,4,2,5,3,3,3,2,3,3,4,1,2,3,3,3,3,3,5
13,3,3,3,3,4,3,4,3,2,3,1,3,3,4,4,3,4,3,3
14,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
15,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
18,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
19,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
20,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
21,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
22,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
23,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
24,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
25,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
26,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
27,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
28,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
29,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
30,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
31,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
33,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
34,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
35,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
36,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
37,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
38,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
39,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
40,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
41,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
42,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
43,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
44,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
45,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
46,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
47,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
48,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
49,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
50,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
